Event number,Picked arrival,Tag,Arrival type,IRIS Event ID,file,file_start
71,2018-12-12 13:22:00.000,**,body,10984273,data\DonneesB23\2018-12\2018-12-12\2018-12-12T01_34_40.450000,2018-12-12 01:34:40
72,2018-12-26 14:17:30.000,**,body,10989514,data\DonneesB23\2018-12\2018-12-25\2018-12-25T13_08_20.250000,2018-12-25 13:08:20
73,2018-12-31 02:48:00.000,**,body,10991212,data\DonneesB23\2018-12\2018-12-29\2018-12-29T19_57_45.825000,2018-12-29 19:57:45
74,2019-01-08 12:53:00.000,**,body,10993586,data\DonneesB23\2019-01\2019-01-07\2019-01-07T09_19_25.500000,2019-01-07 09:19:25
75,2019-01-11 06:04:40.000,**,body,10994409,data\DonneesB23\2019-01\2019-01-10\2019-01-10T19_22_29.275000,2019-01-10 19:22:29
76,2019-01-21 01:45:00.000,**,body,10997852,data\DonneesB23\2019-01\2019-01-19\2019-01-19T06_10_52.100000,2019-01-19 06:10:52
77,2019-01-21 12:08:00.000,**,body,10997943,data\DonneesB23\2019-01\2019-01-21\2019-01-21T10_38_10.900000,2019-01-21 10:38:10
78,2019-01-22 00:14:00.000,**,body,10998098,data\DonneesB23\2019-01\2019-01-21\2019-01-21T10_38_10.900000,2019-01-21 10:38:10
79,2019-01-26 04:01:00.000,**,body,10999596,data\DonneesB23\2019-01\2019-01-24\2019-01-24T01_47_32.250000,2019-01-24 01:47:32
80,2019-01-26 08:25:00.000,**,body,10999641,data\DonneesB23\2019-01\2019-01-24\2019-01-24T01_47_32.250000,2019-01-24 01:47:32
81,2019-01-30 15:45:20.000,**,body,11001050,data\DonneesB23\2019-01\2019-01-30\2019-01-30T06_19_34.350000,2019-01-30 06:19:34
82,2019-02-27 02:59:00.000,S2,surface,11009267,data\DonneesB23\2019-02\2019-02-23\2019-02-23T23_20_53.325000,2019-02-23 23:20:53
83,2019-03-01 01:10:00.000,**,body,11010051,data\DonneesB23\2019-02\2019-02-23\2019-02-23T23_20_53.325000,2019-02-23 23:20:53
